size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
848,24.2037,22.0054,9.9809,11.0221,10.6862,22.5993,21.9070,32.5532,10.0847,10.0526,21.6491,7.4284,8.5308,9.9263,8.7705
856,24.6819,22.4079,9.7154,10.6969,10.3747,23.0499,22.7075,32.8732,10.0814,10.0495,21.6940,7.4563,8.5094,8.3275,8.4516
864,24.8307,22.5641,9.6192,10.7022,10.3854,23.1153,22.1992,33.6458,10.0847,10.0590,22.4785,7.4531,8.4419,8.5875,8.7127
872,25.8464,22.8477,9.6031,10.6733,10.3736,23.2586,24.2626,33.3204,10.0826,10.0580,21.6351,7.4060,8.9139,8.4943,8.6892
880,37.2300,36.7461,10.2120,10.6829,10.3918,23.0746,22.2366,33.3890,10.0922,10.0558,21.2960,7.3996,8.4472,8.0331,8.1862
888,24.9164,22.8274,9.5613,10.6369,10.3372,24.0549,22.4807,33.3537,10.0847,10.0579,21.1483,7.4017,8.4356,8.2043,8.3286
896,25.0576,22.4743,9.6041,10.6882,10.3662,23.7991,22.3694,33.4971,10.0878,10.0558,21.2905,7.4307,8.4408,8.6784,8.7770
904,25.3422,22.9643,9.6267,11.5263,10.3939,24.0581,22.8626,35.2703,10.0879,10.0568,21.2393,7.4445,8.4376,8.6292,8.7416
912,25.2760,22.5545,9.6287,10.7150,10.3907,31.6800,22.5855,34.1178,10.0826,10.0526,21.3687,7.4328,8.4333,8.5019,8.6174
920,25.3294,23.8258,9.6415,10.7246,10.4272,24.1073,22.7278,34.1627,10.0911,10.0559,20.9331,7.4360,8.4451,8.0021,8.1412
928,25.1678,22.9300,9.5924,10.6722,10.4133,24.4530,22.6571,34.6540,10.0986,10.0600,20.7918,7.4147,8.4420,8.5158,8.6431
936,27.0203,24.2164,9.6406,10.7204,10.4057,25.3102,22.5116,34.3993,10.0868,10.0536,20.9353,7.4104,8.4515,8.2194,8.3424
944,25.6066,23.4170,9.6363,10.7118,10.4026,24.7772,22.6990,35.7648,10.0975,10.0655,20.8133,7.4049,8.4559,8.1668,8.3253
952,26.6479,23.2533,9.6545,10.7353,10.4272,24.5087,22.9312,35.0392,10.0911,10.0665,20.9534,7.4253,8.4269,8.0064,8.1766
960,26.0443,23.6696,9.6406,10.7161,10.4111,25.9983,23.0200,35.4855,10.0965,10.0654,20.8647,7.4264,8.4451,7.8256,8.0096
968,26.3365,23.2223,14.7881,10.6893,10.2998,25.0319,23.3796,36.5428,10.8242,10.0001,20.6506,7.3032,8.3810,7.3696,7.5420
976,26.0806,23.8172,9.6107,10.6872,10.7931,25.2181,23.2778,35.5562,10.0782,10.0483,20.5693,7.3761,8.4333,7.4135,7.6210
984,26.2498,25.1176,9.5838,10.6765,10.8028,24.8767,23.4117,35.8441,10.0750,10.0408,20.5019,7.3525,8.5286,7.1524,7.3792
992,26.6554,28.1900,9.5828,10.6754,10.8135,25.4386,25.9727,36.7494,10.0793,10.0483,20.5640,7.3836,8.5404,7.1567,7.3857
1000,26.5537,24.0538,10.9826,10.6850,10.8082,25.1143,23.3529,36.4817,10.0815,10.0558,20.5736,7.5077,8.4312,7.1095,7.3364
1008,26.4221,24.1501,9.5977,10.6327,10.2645,25.8388,23.3400,36.7590,10.0835,10.0548,20.5307,8.0299,8.4355,6.9994,7.2402
1016,26.5495,24.9891,10.7815,10.6850,10.3169,25.8057,23.7242,37.6515,10.0890,10.0527,20.4869,7.8662,8.4484,6.9051,7.1674
1024,26.8070,29.4805,11.6061,10.6924,10.3193,26.2592,23.5842,38.1860,10.0870,10.0613,20.1672,7.8757,8.4408,7.5052,7.5553
1032,26.4855,24.1213,10.9542,12.6492,12.0573,26.6077,23.4241,38.1567,11.7173,11.6488,22.6340,9.6576,9.5880,7.7449,7.8182
1040,26.4193,23.2993,10.9529,12.6444,12.0450,26.1259,23.3556,36.4603,11.7332,11.6636,22.6696,9.1085,10.1482,7.9320,7.8881
1048,26.2750,23.4828,10.9492,12.6444,12.0536,25.1412,23.3177,41.6742,12.9255,11.7001,22.7905,9.1183,10.5310,7.9235,7.9650
