size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
1784,44.6978,31.1172,10.4445,11.6010,10.0765,37.5519,33.8162,42.4718,9.9722,9.9843,20.7853
1792,44.4069,30.9758,10.1443,11.6404,10.0063,31.6359,31.4171,41.2520,9.9541,10.0291,20.7655
1800,44.8676,32.0170,9.9381,11.5250,9.9976,32.1913,29.2362,32.7380,9.9927,9.9799,20.8203
1808,59.2017,28.0378,9.4247,16.6058,31.6664,335.8541,32.5599,34.4301,10.3579,10.3820,21.6311
1816,40.2504,30.4998,9.7959,16.9990,10.4210,31.3123,30.2543,34.3711,11.3859,11.1615,22.8674
1824,49.1447,31.7090,16.9547,17.9966,16.4095,35.2787,36.6129,42.2197,16.0858,15.8595,37.3231
1832,46.4669,30.1158,9.6268,16.6294,11.8905,34.3951,32.7939,34.7035,10.7285,11.1132,21.1342
1840,43.8516,30.1506,10.4729,13.4792,11.8341,30.7217,30.4033,38.3224,11.0642,11.9856,22.5525
1848,47.0770,32.0717,10.4478,11.6764,10.0033,30.1205,31.4025,34.5231,9.9601,9.9674,20.7754
1856,45.4780,31.6179,10.3303,11.5957,10.0127,31.6520,29.7535,35.1248,9.9685,9.9865,20.6636
1864,53.2736,36.8887,14.5273,20.6937,20.1328,37.2916,33.2908,35.2594,10.4869,18.9825,35.4135
1872,45.7463,29.1219,9.3738,11.7607,10.0934,31.1127,33.3259,35.8971,10.1259,10.1986,21.1720
1880,44.9323,30.8066,10.3145,16.7548,10.0580,30.0337,30.0896,36.3677,12.0024,11.2329,22.1467
1888,53.4962,30.5332,10.1390,11.7087,10.1090,31.1917,30.5323,33.7325,11.0647,10.1296,20.9197
1896,48.9025,29.3660,9.8665,11.6653,10.0951,31.6307,31.8660,36.1082,10.1720,10.1927,21.0631
1904,52.4960,38.6213,12.1300,15.8425,14.4146,49.3813,43.4365,36.9042,11.9585,11.2395,23.9620
