size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
679940,1.0000,0.8370,0.3370,0.3804,0.3478,0.8804,0.8913,1.6522,0.3696,0.3587,0.7174
683360,1.0000,0.8370,0.3370,0.3804,0.3478,0.8696,0.8913,1.6087,0.3587,0.3587,0.7174
686796,1.0000,0.8021,0.3229,0.3646,0.3333,0.8542,0.8854,1.6667,0.3438,0.3438,0.6875
690248,1.0000,0.8454,0.3196,0.3608,0.3299,0.8763,0.8454,1.8041,0.3402,0.3402,0.6701
693720,1.0000,0.8211,0.3263,0.3684,0.3368,1.3789,0.9053,1.5579,0.3474,0.3474,0.6947
697208,1.0000,1.0215,0.3333,0.3763,0.3441,0.8710,0.9140,1.6774,0.3548,0.3548,0.7097
700712,1.0000,0.8511,0.3191,0.3404,0.3085,0.8830,0.9149,1.6489,0.3191,0.3191,0.6277
704236,1.0000,0.9451,0.3407,0.3846,0.3516,0.9231,0.9121,1.6703,0.3626,0.3626,0.7253
707776,1.0000,0.8081,0.3030,0.3131,0.2929,0.8283,0.8384,1.5051,0.2929,0.2929,0.5859
711336,1.0000,0.8370,0.5326,0.3804,0.3478,0.9565,1.0435,1.6630,0.3587,0.3587,0.7174
714912,1.0000,0.8387,0.3441,0.3763,0.3441,0.9032,0.9247,1.6129,0.3656,0.3656,0.7097
718508,1.0000,0.8298,0.3298,0.3723,0.3404,0.8830,0.9255,1.7128,0.4574,0.4681,1.0638
722120,1.0000,0.8298,0.3298,0.3723,0.3404,0.8723,0.8830,1.6915,0.3511,0.3511,0.7021
725752,1.0000,0.8511,0.3404,0.3723,0.3404,0.8936,1.0319,1.6489,0.3511,0.3511,0.7021
729400,1.0000,0.8404,0.3404,0.3723,0.3404,0.8830,0.9043,1.6277,0.3511,0.3511,0.7021
733068,1.0000,0.8144,0.3196,0.3608,0.3299,0.8557,0.8866,1.6082,0.3402,0.3402,0.6804
736752,1.0000,0.8352,0.3407,0.3736,0.3407,0.8791,0.9231,1.5934,0.3626,0.3626,0.7033
740456,1.0000,0.6500,0.2500,0.2833,0.2583,0.6917,0.6917,1.2750,0.2750,0.2750,0.6083
744180,1.0000,1.1383,0.3298,0.3617,0.3404,0.8723,0.8936,1.5638,0.3511,0.3511,0.6915
747920,1.0000,0.8152,0.3261,0.3587,0.3370,1.1522,1.9022,2.3043,0.5543,0.3478,0.6848
751680,1.0000,0.8172,0.3333,0.3656,0.3333,0.8925,0.9032,1.6129,0.3441,0.3441,0.6774
755460,1.0000,0.7600,0.3000,0.3300,0.3100,0.8000,0.8000,1.4700,0.3200,0.3200,0.6300
759260,1.0000,0.7700,0.3000,0.3400,0.3100,0.8100,0.8200,1.5800,0.3200,0.3200,0.7800
763076,1.0000,0.8280,0.3333,0.3656,0.3333,0.8817,0.8710,1.5699,0.3441,0.3441,0.7849
766912,1.0000,0.8387,0.3333,0.3656,0.3333,0.8710,0.9140,1.6129,0.3548,0.3548,0.6882
770768,1.0000,0.8495,0.3333,0.3656,0.3441,0.8817,0.9570,1.6559,0.3441,0.3441,0.6882
774644,1.0000,0.8462,0.3407,0.3736,0.3407,0.9121,0.8901,1.6374,0.3516,0.3516,0.7033
778540,1.0000,1.1895,0.3158,0.3579,0.3263,0.8947,0.8526,1.5579,0.3368,0.3368,0.6632
782456,1.0000,0.8333,0.3229,0.3542,0.3229,0.9375,0.9479,1.5417,0.3333,0.3333,0.6563
786388,1.0000,0.8400,0.3400,0.3800,0.3500,0.8700,0.9000,1.5700,0.3600,0.3600,0.7000
790340,1.0000,0.8144,0.3196,0.4536,0.3299,0.8660,0.8763,1.5876,0.3299,0.3299,0.6495
794312,1.0000,0.5461,0.2199,0.2411,0.2270,0.5816,0.5957,1.0426,0.2340,0.2340,0.7092
798304,1.0000,0.8370,0.3370,0.3696,0.3370,0.9130,0.8913,1.6087,0.3478,0.3478,0.6957
802316,1.0000,0.7959,0.3061,0.3265,0.2959,0.8673,0.9490,1.5816,0.3061,0.3061,0.6020
806348,1.0000,0.5746,0.2313,0.2537,0.2388,0.6194,0.6119,1.1493,0.2463,0.2463,0.4851
810400,1.0000,0.8172,0.3333,0.3656,0.3441,0.8817,0.8925,1.6022,0.3548,0.3548,0.6989
814476,1.0000,0.8444,0.3444,0.3778,0.3444,0.8889,1.2333,2.1222,0.3556,0.3556,0.7000
818572,1.0000,0.8370,0.3370,0.3696,0.3370,0.8804,1.2609,1.8152,0.3587,0.3587,0.6957
822688,1.0000,0.8242,0.3297,0.3407,0.3077,0.8791,0.8901,1.6044,0.3187,0.3187,0.6264
826824,1.0000,0.7282,0.2913,0.3301,0.3010,0.7767,1.0291,1.4078,0.3010,0.3010,0.7282
830980,1.0000,0.8000,0.3158,0.3579,0.3263,0.8421,0.8421,1.5158,0.3368,0.3368,0.6632
835156,1.0000,0.8352,0.3297,0.3407,0.3077,0.8681,0.8901,1.6044,0.3187,0.3187,0.7143
839356,1.0000,0.8370,0.3370,0.3696,0.3370,1.5217,1.1196,1.9130,0.3478,0.7609,1.0652
843576,1.0000,0.8478,0.3370,0.3696,0.3370,0.8804,0.9783,1.5761,0.3478,0.3478,0.6957
847816,1.0000,0.8021,0.3229,0.3542,0.3229,0.8438,0.8854,1.5625,0.3333,0.3333,0.6667
852080,1.0000,0.8286,0.2952,0.3238,0.3048,0.7810,0.7810,1.4381,0.3048,0.3048,0.6095
856364,1.0000,0.8105,0.3158,0.3263,0.3053,0.8842,0.8842,1.5474,0.3158,0.3158,0.6105
860668,1.0000,0.7957,0.3333,0.3548,0.3333,0.8602,0.8710,1.5699,0.3441,0.3333,0.6774
864996,1.0000,0.8556,0.3444,0.3778,0.3444,0.9111,0.9111,1.6889,0.3556,0.3556,0.6889
869344,1.0000,0.8444,0.3444,0.3667,0.3444,0.8889,0.9556,1.6222,0.3556,0.3556,1.2556
873716,1.0000,0.6063,0.2520,0.3228,0.2520,0.6535,1.4488,1.2362,0.2598,0.2598,0.5039
878108,1.0000,0.8261,0.3261,0.3370,0.3152,0.8696,0.9348,1.5761,0.3261,0.3152,0.6304
882524,1.0000,1.0000,0.3407,0.3736,0.3407,0.9231,0.9011,1.7143,0.3516,0.3516,0.7033
886960,1.0000,0.8229,0.3229,0.3542,0.3229,0.8646,0.8750,2.1354,0.3333,0.3333,0.6563
891420,1.0000,0.5241,0.2138,0.2345,0.2138,0.6069,0.5931,1.0276,0.2276,0.2276,0.4414
895900,1.0000,0.8211,0.3263,0.3579,0.3263,0.9368,0.8737,1.5579,0.3368,0.3368,0.6737
900404,1.0000,0.8298,0.3298,0.3617,0.3298,0.8830,1.3404,1.6170,0.3191,0.3191,0.6170
904932,1.0000,0.8000,0.3263,0.3579,0.3263,0.8316,0.8737,1.5474,0.3368,0.3368,0.6632
909480,1.0000,0.8352,0.3297,0.3407,0.3187,0.8901,0.8791,1.6593,0.3297,0.3297,0.6374
914052,1.0000,0.8526,0.3579,0.3579,0.3263,0.8737,1.0421,1.6421,0.3368,1.8632,0.6947
918648,1.0000,0.7979,0.3298,0.3617,0.3298,0.8617,0.8936,1.5638,0.3404,0.3404,0.6702
923268,1.0000,0.7857,0.3061,0.3265,0.2959,0.8265,0.8673,1.5408,0.3061,0.2959,0.5918
927908,1.0000,0.7938,0.3196,0.3505,0.3196,0.8557,0.8557,1.5567,0.3299,0.3299,0.6495
932572,1.0000,0.8105,0.3263,0.3579,0.3263,0.8632,0.8526,1.5895,0.3158,0.3158,0.6105
937260,1.0000,0.8125,0.3542,0.4896,0.3333,0.8438,0.9375,1.5417,0.3438,0.3438,0.6667
941972,1.0000,0.8105,0.3158,0.3263,0.3053,0.8421,0.8526,1.5579,0.3158,0.3158,0.6105
946708,1.0000,0.7959,0.3163,0.3469,0.3265,1.0204,1.1735,1.5714,0.3061,0.3061,0.5918
951468,1.0000,0.7917,0.3125,0.3229,0.2917,0.8646,0.8438,1.5208,0.3021,0.3021,0.6042
956252,1.0000,0.8298,0.3404,0.3617,0.3404,1.2660,0.8936,1.7128,0.3511,0.3511,0.6809
961060,1.0000,0.8125,0.3333,0.3646,0.3333,0.8750,0.8854,1.5313,0.3438,0.3438,0.6771
965892,1.0000,0.8280,0.3226,0.3441,0.3118,0.8602,0.8710,1.5914,0.3226,0.3226,0.6237
970748,1.0000,0.7596,0.3077,0.3365,0.3077,0.7981,0.7885,1.6250,0.3173,0.3173,0.6250
